Symbol,Type
RTNPOWER,Continue
MAZDOCK,Continue
GRAVITA,Continue
PAYTM,Continue
RAILTEL,Continue
EMIL,Continue
RVNL,Continue
INOXGREEN,Continue
BSE,Continue
BEML,Continue
AZAD,Continue
NEULANDLAB,Continue
MOTILALOFS,Continue
HFCL,Continue
EMBDL,Continue
STLTECH,Continue
JUBLINGREA,Continue
BLS,Continue
ANGELONE,Continue
EPIGRAL,Continue
KITEX,Continue
AVANTIFEED,Continue
PARAS,Continue
APOLLO,Continue
BANCOINDIA,Continue
OLAELEC,Continue
EIEL,Continue
GMRP&UI,Reversal
JCHAC,Reversal
KPIGREEN,Reversal
MANORAMA,Reversal
PCJEWELLER,Reversal
SUDARSCHEM,Reversal
AWFIS,Reversal
EDELWEISS,Reversal
NETWEB,Reversal
POLICYBZR,Reversal
AIIL,Reversal
DBREALTY,Reversal
GALLANTT,Reversal
HUDCO,Reversal
JBMA,Reversal
MRPL,Reversal
SCI,Reversal
TARC,Reversal
TBOTEK,Reversal
THOMASCOOK,Reversal
WOCKPHARMA,Reversal
GABRIEL,Reversal
KAYNES,Reversal
LLOYDSME,Reversal
NUVAMA,Reversal
PCBL,Reversal
PTCIL,Reversal
TEJASNET,Reversal
AGI,Reversal
BBTC,Reversal
HSCL,Reversal
KEC,Reversal
MAXESTATES,Reversal
POWERINDIA,Reversal
POWERMECH,Reversal
RELINFRA,Reversal
SARDAEN,Reversal
SAREGAMA,Reversal
SENCO,Reversal
SUNCLAY,Reversal
THYROCARE,Reversal
TIMETECHNO,Reversal
VMART,Reversal
WELENT,Reversal
YATHARTH,Reversal
ZENTEC,Reversal
RPOWER,Reversal
PAISALO,Reversal
HMT,Reversal
SKYGOLD,Reversal
V2RETAIL,Reversal
RAYMONDLSL,Reversal
KRN,Reversal
LLOYDSENT,Reversal
ACMESOLAR,Reversal
TRANSRAILL,Reversal
